age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,altersgruppe,income_per_hour,capital_income_per_hour
25,3,5,7,1,6,3,0,1,0,0,40,1,0,Middle-aged,0.0,0.0
38,3,3,9,0,4,0,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
28,1,1,12,0,10,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
44,3,1,10,0,6,0,0,1,7688,0,40,1,1,Experienced,3.6961538461538463,3.6961538461538463
18,7,1,10,1,14,3,1,0,0,0,30,1,0,Young,0.0,0.0
34,3,5,6,1,7,1,1,1,0,0,30,1,0,Middle-aged,0.0,0.0
29,7,3,9,1,14,4,0,1,0,0,40,1,0,Middle-aged,0.0,0.0
63,5,4,15,0,9,0,1,1,3103,0,32,1,1,Senior,1.8647836538461537,1.8647836538461537
24,3,1,10,1,7,4,1,0,0,0,40,1,0,Young,0.0,0.0
55,3,5,4,0,2,0,1,1,0,0,10,1,0,Experienced,0.0,0.0
65,3,3,9,0,6,0,1,1,6418,0,40,1,1,Senior,3.085576923076923,3.085576923076923
36,0,0,13,0,0,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
26,3,3,9,1,0,1,1,0,0,0,39,1,0,Middle-aged,0.0,0.0
58,7,3,9,0,14,0,1,1,0,0,35,1,0,Experienced,0.0,0.0
48,3,3,9,0,6,0,1,1,3103,0,48,1,1,Experienced,1.2431891025641026,1.2431891025641026
43,3,4,14,0,3,0,1,1,0,0,50,1,1,Experienced,0.0,0.0
20,6,1,10,1,7,3,1,1,0,0,25,1,0,Young,0.0,0.0
43,3,3,9,0,0,5,1,0,0,0,30,1,0,Experienced,0.0,0.0
37,3,3,9,3,6,4,1,0,0,0,20,1,0,Middle-aged,0.0,0.0
40,3,2,16,0,9,0,0,1,0,0,45,0,1,Experienced,0.0,0.0
34,3,0,13,0,12,0,1,1,0,0,47,1,1,Middle-aged,0.0,0.0
34,3,1,10,1,7,3,0,0,0,0,35,1,0,Middle-aged,0.0,0.0
72,7,5,4,2,14,1,1,0,0,0,6,1,0,Senior,0.0,0.0
25,3,0,13,1,9,1,1,1,0,0,43,0,0,Middle-aged,0.0,0.0
25,3,0,13,0,9,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
22,3,3,9,1,0,3,1,1,0,0,20,1,0,Young,0.0,0.0
23,3,3,9,2,6,4,0,1,0,0,54,1,0,Young,0.0,0.0
54,3,3,9,0,2,0,1,1,0,0,35,1,0,Experienced,0.0,0.0
32,5,1,10,1,9,1,1,1,0,0,60,1,0,Middle-aged,0.0,0.0
46,6,1,10,0,3,0,0,1,7688,0,38,1,1,Experienced,3.8906882591093117,3.8906882591093117
56,5,5,7,3,7,4,1,0,0,0,50,1,0,Experienced,0.0,0.0
24,5,0,13,1,11,1,1,1,0,0,50,1,0,Young,0.0,0.0
23,1,1,10,0,10,0,1,1,0,0,40,1,0,Young,0.0,0.0
26,3,3,9,2,3,4,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
65,7,3,9,0,14,0,1,1,0,0,40,1,0,Senior,0.0,0.0
36,1,0,13,0,9,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
22,3,5,3,1,8,1,1,1,0,0,50,0,0,Young,0.0,0.0
17,3,5,6,1,6,1,1,1,0,0,40,1,0,Young,0.0,0.0
20,3,3,9,1,2,3,1,1,0,0,40,1,0,Young,0.0,0.0
65,3,4,14,0,9,0,1,1,0,0,50,1,1,Senior,0.0,0.0
44,4,1,11,0,11,0,1,1,0,0,45,1,1,Experienced,0.0,0.0
36,3,3,9,0,4,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
29,3,5,7,0,7,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
20,6,1,10,1,4,3,1,1,0,0,32,1,0,Young,0.0,0.0
28,3,1,11,0,9,5,1,0,0,0,36,1,1,Middle-aged,0.0,0.0
39,3,5,4,0,2,0,1,1,0,0,40,0,0,Middle-aged,0.0,0.0
54,3,1,10,0,13,0,1,1,3908,0,50,1,0,Experienced,1.503076923076923,1.503076923076923
52,3,5,7,2,8,1,0,0,0,0,18,1,0,Experienced,0.0,0.0
56,4,3,9,3,3,1,1,0,0,0,50,1,0,Experienced,0.0,0.0
18,3,1,10,1,7,3,1,1,0,0,20,1,0,Young,0.0,0.0
39,3,3,9,2,5,3,0,1,0,0,40,1,0,Middle-aged,0.0,0.0
22,3,3,9,1,7,1,1,1,14084,0,60,1,1,Young,4.514102564102564,4.514102564102564
38,3,5,5,1,3,1,1,1,0,0,54,0,0,Middle-aged,0.0,0.0
21,3,1,10,1,0,3,1,0,0,0,40,1,0,Young,0.0,0.0
63,3,3,9,0,2,0,1,1,0,0,40,1,0,Senior,0.0,0.0
34,1,0,13,0,3,0,1,1,3103,0,50,1,1,Middle-aged,1.1934615384615384,1.1934615384615384
42,4,3,9,0,3,0,1,1,5178,0,50,1,1,Experienced,1.9915384615384615,1.9915384615384615
33,3,3,9,0,5,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
30,3,0,13,1,3,1,1,0,0,0,50,1,0,Middle-aged,0.0,0.0
39,3,1,10,2,11,1,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
26,3,4,14,1,3,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
33,3,3,9,1,6,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
47,1,3,9,2,0,1,1,0,0,0,40,1,0,Experienced,0.0,0.0
41,3,0,13,1,7,1,1,0,0,0,40,0,0,Experienced,0.0,0.0
41,4,1,12,0,2,0,1,1,15024,0,60,1,1,Experienced,4.815384615384615,4.815384615384615
19,3,1,10,1,7,3,1,1,0,0,20,1,0,Young,0.0,0.0
46,3,3,9,2,13,1,1,1,0,0,40,1,0,Experienced,0.0,0.0
43,3,3,9,0,11,0,1,1,0,0,48,1,0,Experienced,0.0,0.0
55,3,1,10,0,3,0,1,1,15024,0,45,1,1,Experienced,6.420512820512821,6.420512820512821
46,3,1,11,0,12,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
30,3,3,9,0,6,0,1,1,0,0,40,0,0,Middle-aged,0.0,0.0
21,3,1,10,2,5,1,1,0,0,0,40,1,0,Young,0.0,0.0
46,3,1,10,0,2,0,0,1,0,0,40,0,0,Experienced,0.0,0.0
17,7,5,6,1,14,3,1,1,0,0,40,1,0,Young,0.0,0.0
41,3,3,9,0,6,0,1,1,0,0,50,1,0,Experienced,0.0,0.0
69,4,3,9,0,11,0,1,1,0,0,30,1,0,Senior,0.0,0.0
50,3,3,9,0,13,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
20,3,1,10,1,0,1,1,0,0,0,40,1,0,Young,0.0,0.0
45,4,1,10,0,6,0,1,1,0,0,50,1,0,Experienced,0.0,0.0
23,3,0,13,1,3,1,1,1,0,0,40,1,0,Young,0.0,0.0
31,5,1,10,0,2,0,1,1,0,0,50,1,0,Middle-aged,0.0,0.0
43,3,3,9,2,6,1,1,0,0,0,44,1,0,Experienced,0.0,0.0
20,0,5,7,1,7,3,1,0,0,0,10,1,0,Young,0.0,0.0
55,3,3,9,0,11,0,1,1,0,0,56,1,1,Experienced,0.0,0.0
24,0,1,10,1,1,1,1,1,0,0,40,1,0,Young,0.0,0.0
41,7,4,14,0,14,5,1,0,7688,0,10,1,1,Experienced,14.784615384615385,14.784615384615385
59,3,0,13,1,3,1,1,0,0,0,25,1,0,Experienced,0.0,0.0
49,0,5,4,1,7,1,0,1,0,0,20,1,0,Experienced,0.0,0.0
33,3,4,14,0,9,5,1,0,5178,0,10,1,1,Middle-aged,9.957692307692307,9.957692307692307
59,0,0,13,2,0,1,1,1,0,0,40,1,0,Experienced,0.0,0.0
34,3,4,14,1,7,1,0,1,0,0,40,1,0,Middle-aged,0.0,0.0
20,3,3,9,1,5,3,1,1,0,0,40,1,0,Young,0.0,0.0
25,3,0,13,1,3,3,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
49,3,5,6,0,4,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
59,3,3,9,0,13,0,1,1,0,0,40,1,1,Experienced,0.0,0.0
20,3,3,9,1,0,1,1,0,0,0,40,1,0,Young,0.0,0.0
51,7,1,10,0,14,5,1,0,0,0,18,1,0,Experienced,0.0,0.0
33,3,1,10,1,0,4,0,0,0,0,35,1,0,Middle-aged,0.0,0.0
22,3,1,10,1,13,3,0,1,0,0,39,1,0,Young,0.0,0.0
58,5,5,5,3,7,1,1,0,0,0,40,1,0,Experienced,0.0,0.0
52,1,3,9,3,0,4,1,0,0,0,28,1,0,Experienced,0.0,0.0
36,3,5,6,2,6,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
41,1,3,9,0,10,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
28,3,3,9,1,13,3,1,1,2597,0,40,1,0,Middle-aged,1.2485576923076922,1.2485576923076922
19,3,1,10,1,5,3,0,1,0,0,16,1,0,Young,0.0,0.0
18,3,3,9,1,7,1,1,0,0,0,28,1,0,Young,0.0,0.0
18,3,3,9,1,6,3,1,0,0,0,48,1,0,Young,0.0,0.0
28,3,1,10,0,2,0,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
29,3,1,11,0,3,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
20,7,3,9,1,14,3,1,0,0,0,20,1,0,Young,0.0,0.0
40,3,1,10,0,5,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
26,3,3,9,1,5,4,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
46,3,3,9,0,2,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
23,3,5,7,1,7,1,1,0,0,0,24,1,0,Young,0.0,0.0
44,3,3,9,1,0,4,1,0,0,0,40,1,0,Experienced,0.0,0.0
43,3,0,13,2,11,4,1,0,0,0,40,1,1,Experienced,0.0,0.0
31,1,0,13,2,9,4,1,0,0,0,60,1,0,Middle-aged,0.0,0.0
18,3,1,10,1,11,3,1,0,0,0,25,1,0,Young,0.0,0.0
19,3,1,10,1,10,3,1,1,0,0,30,1,0,Young,0.0,0.0
41,3,1,10,2,12,1,1,0,0,0,40,1,0,Experienced,0.0,0.0
41,3,3,9,2,5,4,1,0,0,0,40,1,0,Experienced,0.0,0.0
69,3,3,9,2,0,1,1,0,0,0,25,1,0,Senior,0.0,0.0
48,0,2,16,0,9,5,1,0,0,0,40,1,1,Experienced,0.0,0.0
28,3,3,9,1,9,3,1,1,0,0,40,1,0,Middle-aged,0.0,0.0
27,5,3,9,0,2,0,1,1,0,0,60,0,1,Middle-aged,0.0,0.0
41,3,1,10,0,0,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
24,3,3,9,1,2,4,0,0,0,0,40,1,0,Young,0.0,0.0
20,7,3,9,1,14,1,1,0,0,0,40,1,0,Young,0.0,0.0
42,4,2,16,0,9,0,1,1,0,0,41,1,1,Experienced,0.0,0.0
57,3,3,9,0,2,0,0,1,0,0,48,1,0,Experienced,0.0,0.0
30,3,1,12,1,9,1,1,0,0,0,40,1,0,Middle-aged,0.0,0.0
36,3,3,9,0,11,0,1,1,0,0,60,1,1,Middle-aged,0.0,0.0
49,3,5,4,0,6,0,0,1,0,0,40,1,0,Experienced,0.0,0.0
33,3,3,9,0,6,5,1,0,0,0,35,1,0,Middle-aged,0.0,0.0
23,3,5,6,0,4,0,1,1,0,0,40,1,0,Young,0.0,0.0
46,3,4,14,0,9,0,1,1,0,0,40,1,0,Experienced,0.0,0.0
18,3,1,10,1,0,3,0,0,0,0,22,0,0,Young,0.0,0.0
40,3,3,9,0,3,0,1,1,7688,0,55,1,1,Experienced,2.688111888111888,2.688111888111888
34,3,4,14,1,9,3,1,0,0,0,30,1,0,Middle-aged,0.0,0.0
47,5,3,9,3,3,1,1,0,0,0,30,1,0,Experienced,0.0,0.0
44,3,1,11,3,3,4,1,0,0,0,30,1,0,Experienced,0.0,0.0
33,3,3,9,0,11,0,1,1,0,0,40,1,1,Middle-aged,0.0,0.0
55,3,0,13,0,3,0,1,1,15024,0,50,1,1,Experienced,5.7784615384615385,5.7784615384615385
19,3,3,9,1,11,1,1,1,2907,0,30,1,0,Young,1.8634615384615385,1.8634615384615385
28,3,1,10,1,7,1,0,1,0,0,14,1,0,Middle-aged,0.0,0.0
27,3,5,7,0,7,5,0,0,0,0,32,1,0,Middle-aged,0.0,0.0
50,3,5,4,0,6,0,1,1,0,0,20,1,0,Experienced,0.0,0.0
